Group,gillnet,trawl,pots,poundnets,recreational,Total
Seabirds,0.000522,0,0,0,0,0.000522
Dolphins,0,0,0,0,0,0
Sea turtles,0,0,0,0,0,0
Sharks,0.00143,0.0002,0,0,0,0.00163
Rays,0.01722,0.0031,0,0,0,0.02032
Lizardfish,2.00E-06,0.0061,0,0,4.60E-05,0.006148
Bluefish,0.00297,0.0047,0,0,0.000988,0.008658
Longnose gar,0.00042,0,0,0,0,0.00042
Weakfish,0.00038,0.0265,0,0,0.000287,0.027167
Spotted seatrout,0.00063,0.0004,0,0,0.011372,0.012402
Red drum,0.00709,0,0,0,0.010201,0.017291
Kingfish,0.00013,0.0044,0,0,0,0.00453
Striped bass,0.00051,0,0,0,0.00051,0.00102
Hickory shad,0.00117,0,0,0,0,0.00117
Southern flounder,0.01218,0.0106,0,0,2.00E-06,0.022782
Summer flounder,0.00019,0.0017,0,0,0,0.00189
Gulf flounder,8.00E-06,0.0008,0,0,0,0.000808
Spanish mackerel,0.00016,0.0021,0,0,0.000143,0.002403
Black drum,0.00138,0.0002,0,0,0.000135,0.001715
Atlantic croaker,0.00035,0.4597,0,0,0.000937,0.460987
Spot,9.00E-05,0.1913,0,0,0.000214,0.191604
Silver perch,3.00E-06,0.0025,0,0,2.20E-05,0.002525
White perch,8.00E-05,0,0,0,4.30E-05,0.000123
Pigfish,6.00E-05,0.0051,0,0,0.000272,0.005432
Pinfish,1.00E-05,0.0351,0,0,0.000511,0.035621
Striped mullet,0.00035,0,0,0,0,0.00035
Gizzard shad,8.00E-05,0.0001,0,0,0,0.00018
Atlantic menhaden,0.00394,0.0075,0,0,9.20E-05,0.011532
Anchovy,0,0.0029,0,0,0,0.0029
Silversides,0,0,0,0,0,0
Penaeid shrimp,0,0,0,0,0,0
Blue crabs,0.0001175,0.0004,0,0,0,0.0005175
Other crabs and shrimp,0,0.0013,0,0,0,0.0013
Polychaetes,0,0,0,0,0,0
Squid,0,0.0094,0,0,0,0.0094
Mollusks,0,0,0,0,0,0
Meiofauna,0,0,0,0,0,0
Mysids,0,0,0,0,0,0
Ichthyoplankton,0,0,0,0,0,0
Zooplankton,0,0,0,0,0,0
Phytoplankton,0,0,0,0,0,0
SAV,0,0,0,0,0,0
Detritus,0,0,0,0,0,0
Sum,0.0514725,0.7761,0,0,0.025775,0.8533474
