Group,gillnet,trawl,pots,poundnets,recreational,total
Seabirds,0,0,0,0,0,0
Dolphins,0,0,0,0,0,0
Sea turtles,0,0,0,0,0,0
Sharks,0.0016,0,0,0,0,0.0016
Rays,0,0,0,0,6.50E-05,6.50E-05
Lizardfish,0,0,0,0,9.00E-06,9.00E-06
Bluefish,0.0283,0,0,0.0003,0.007683,0.036283
Longnose gar,0,0,0,0,0,0
Weakfish,0.0029,0.001,0,0.0004,0.000626,0.004926
Spotted seatrout,0.0097,0,0,0.0002,0.035048,0.044948
Red drum,0.0055,0,0,0.0008,0.009266,0.015566
Kingfish,0.0022,0.0061,0,0,0.000735,0.009035
Striped bass,0.002,0,0,0,0.0013,0.0033
Hickory shad,0.0028,0,0,0,0,0.0028
Southern flounder,0.0224,0.007,0.0001,0.0386,0.007933,0.076033
Summer flounder,0,0,0,0,0.003739,0.003739
Gulf flounder,0,0,0,0,0,0
Spanish mackerel,0.0243,0,0,0.0023,0.001754,0.028354
Black drum,0.0025,0,0,0.0014,0.001274,0.005174
Atlantic croaker,0.0019,0,0,0.0003,0.00237,0.00457
Spot,0.0041,0.0006,0,0.0001,0.001053,0.005853
Silver perch,0,0,0,0,6.00E-05,6.00E-05
White perch,0.0019,0,0,0,0.000346,0.002246
Pigfish,0.0003,0,0,0,0.000917,0.001217
Pinfish,0,0,0,0,0.000705,0.000705
Striped mullet,0.0483,0,0.0001,0.0005,0.003189,0.05208901
Gizzard shad,0,0,0,0,0,0
Atlantic menhaden,0.0105,0,0,0.0024,0.003261,0.016161
Anchovy,0,0,0,0,0,0
Silversides,0,0,0,0,0,0
Penaeid shrimp,0,0.2908,0,0,0.001,0.2918
Blue crabs,0.0002,0.0025,0.4062,0,0.0029,0.4118
Other crabs and shrimp,0,0,0,0,0,0
Polychaetes,0,0,0,0,0,0
Squid,0,0.0002,0,0,0,0.0002
Mollusks,0,0,0.0006,0,0.007,0.0076
Meiofauna,0,0,0,0,0,0
Mysids,0,0,0,0,0,0
Ichthyoplankton,0,0,0,0,0,0
Zooplankton,0,0,0,0,0,0
Phytoplankton,0,0,0,0,0,0
SAV,0,0,0,0,0,0
Detritus,0,0,0,0,0,0
Sum,0.1714,0.3082,0.407,0.04730001,0.09223299,1.026133
